trace,Num. PREGS,ROB entries,Num. SchedQ entries per FU,Num. ALU FUs,Num. MUL FUs,Num. LSU FUs,Fetch width,Dispatch width,P,H,Predictor (M),Cycles,Trace instructions,Fetched instructions,Retired instructions,Total branch instructions,Branch Mispredictions,I-cache misses,D-cache misses,Cycles with no fires,No dispatch cycles due to ROB,No dispatch cycles due to PRegs,Max DispQ usage,Average DispQ usage,Max SchedQ usage,Average SchedQ usage,Max ROB usage,Average ROB usage,IPC,branch_pattern_table_size,reservation_station_size,resource_utilization
deepsjeng531,32,64,6,2,1,1,2,2,16,16,GSPLIT,1863979,2000000,3612359,2000000,171719,47733,1023,12840,656747,0,298249,172,8.654,24,7.466,44,11.664,1.073,16,24,413.0
deepsjeng531,64,96,6,2,1,1,2,2,16,16,GSPLIT,1838236,2000000,3560809,2000000,171719,47766,1023,12840,640379,0,10906,168,4.936,24,9.553,61,15.05,1.088,16,24,637.0
deepsjeng531,128,160,6,2,1,1,2,2,16,16,GSPLIT,1837871,2000000,3560079,2000000,171719,47766,1023,12840,639899,0,0,168,4.895,24,9.573,71,15.09,1.088,16,24,1085.0
deepsjeng531,32,64,6,2,1,1,4,4,16,16,GSPLIT,1820196,2000000,7033423,2000000,171719,51844,1023,12840,679863,0,573120,245,15.26,24,10.107,53,15.343,1.099,16,24,417.0
deepsjeng531,64,96,6,2,1,1,4,4,16,16,GSPLIT,1791266,2000000,6917667,2000000,171719,51863,1023,12840,661840,0,7047,230,10.043,24,13.39,60,20.207,1.117,16,24,641.0
deepsjeng531,128,160,6,2,1,1,4,4,16,16,GSPLIT,1791027,2000000,6916711,2000000,171719,51863,1023,12840,661389,0,0,230,10.005,24,13.407,73,20.245,1.117,16,24,1089.0
deepsjeng531,32,64,6,2,1,1,8,8,16,16,GSPLIT,1813557,2000000,14010404,2000000,171719,52249,1023,12840,680749,0,632498,394,20.167,24,11.054,53,16.481,1.103,16,24,425.0
deepsjeng531,64,96,6,2,1,1,8,8,16,16,GSPLIT,1784842,2000000,13780764,2000000,171719,52249,1023,12840,663079,0,6516,336,15.132,24,14.254,60,21.221,1.121,16,24,649.0
deepsjeng531,128,160,6,2,1,1,8,8,16,16,GSPLIT,1784646,2000000,13779196,2000000,171719,52249,1023,12840,662687,0,0,336,15.101,24,14.267,73,21.251,1.121,16,24,1097.0
deepsjeng531,32,64,6,2,1,2,2,2,16,16,GSPLIT,1641648,2000000,3169341,2000000,171719,46910,1023,12840,502896,0,214254,172,7.026,30,6.139,49,10.232,1.218,16,30,426.0
